id,delivery_file,master_file,cefr,topic,subtype,roles,line_count,target_seconds,record_status
listening_a1_0014,listening_a1_0014.m4a,listening_a1_0014.wav,A1,transport,image_match,narrator,1,6,awaiting_recording
listening_a1_0015,listening_a1_0015.m4a,listening_a1_0015.wav,A1,logement,short_dialogue,f2|m2,3,9,awaiting_recording
listening_a1_0016,listening_a1_0016.m4a,listening_a1_0016.wav,A1,sante,short_dialogue,f1|f2,4,11,awaiting_recording
listening_a1_0017,listening_a1_0017.m4a,listening_a1_0017.wav,A1,loisirs,announcement,m1,2,8,awaiting_recording
listening_a1_0018,listening_a1_0018.m4a,listening_a1_0018.wav,A1,travail,short_dialogue,f1|m2,3,12,awaiting_recording
listening_a1_0019,listening_a1_0019.m4a,listening_a1_0019.wav,A1,vie_quotidienne,short_dialogue,f1|m1,3,12,awaiting_recording
listening_a1_0020,listening_a1_0020.m4a,listening_a1_0020.wav,A1,transport,short_dialogue,f2|m2,3,10,awaiting_recording
listening_a1_0021,listening_a1_0021.m4a,listening_a1_0021.wav,A1,loisirs,image_match,m1,1,7,awaiting_recording
listening_a1_0022,listening_a1_0022.m4a,listening_a1_0022.wav,A1,sante,short_dialogue,f1|m2,2,8,awaiting_recording
listening_a1_0023,listening_a1_0023.m4a,listening_a1_0023.wav,A1,logement,short_dialogue,f2|m1,3,9,awaiting_recording
listening_a1_0024,listening_a1_0024.m4a,listening_a1_0024.wav,A1,vie_quotidienne,image_match,m2|f1,2,7,awaiting_recording
listening_a1_0025,listening_a1_0025.m4a,listening_a1_0025.wav,A1,transport,short_dialogue,m2|f2,3,10,awaiting_recording
